name,name_modify,category,y_coord,x_coord,address_str,address_jibun,tel,num_site,area,area_bldg,available_ppl,parking,conv,safety,etc_bldg,time,price,tel_admin,admin,collect_date,admin_code,admin_name
한탄강소나무캠핑,한탄강소나무캠핑,야영장,38.0158419,127.0770633,경기도 연천군 전곡읍 선사로286번길 37,경기도 연천군 전곡읍 전곡리 56-23,031-833-0000,105,73164,,52,,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑12동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
한탄강관광지오토캠핑장,한탄강관광지오토캠핑장,자동차야영장,38.00887564,127.05886,경기도 연천군 전곡읍 선사로 76,경기도 연천군 전곡읍 전곡리 696-3,031-833-0030,1,3716,,640,,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반55동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
춘장대솔내음캠핑장,춘장대솔내음캠핑장,야영장,36.16672778,126.5272848,충청남도 서천군 서면 춘장대로 151번길 20-6,,000-0000-0000,50,14972,30,200,30,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
늘푸른캠핑장,늘푸른캠핑장,야영장,36.08525495,126.645165,충청남도 서천군 마서면 장천로 907,,041-953-1785,27,6452,220,118,20,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
서천갯벌체험글램핑장,서천갯벌체험글램핑장,야영장,36.13294322,126.5623002,충청남도 서천군 서면 월하성길 96,,041-952-0332,20,10882,264,80,30,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
백일야영장,백일야영장,야영장,36.1641414,126.5255713,충청남도 서천군 서면 춘장대로 8번길 15-11,,000-0000-0000,20,3614,30,80,15,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
춘장대나드리캠핑장,춘장대나드리캠핑장,야영장,36.1630717,126.5251476,충청남도 서천군 서면 춘장대로 8번길 3,,000-0000-0000,35,2750,30,140,20,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
춘장대캠핑장,춘장대캠핑장,야영장,36.1647304,126.5258235,충청남도 서천군 서면 춘장대로 8번길 17-7,,000-0000-0000,30,1641,30,120,25,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
춘장대오토캠핑장,춘장대오토캠핑장,자동차야영장,36.16187482,126.5261448,충청남도 서천군 서면 춘장대로 106,,000-0000-0000,30,4950,201,120,30,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
서천해양글램핑장,서천해양글램핑장,야영장,36.14492436,126.5019932,충청남도 서천군 서면 서인로 288-19,,041-952-2347,29,8250,264,116,15,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,120000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
서천금빛노을서울캠핑장,서천금빛노을서울캠핑장,야영장,36.04561654,126.718912,충청남도 서천군 마서면 옥도로 498번길 43-10,충청남도 서천군 마서면 장선리 128-3,02-2133-3923,15,3477,150,60,15,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,22000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
해오름관광농원,해오름관광농원,야영장,36.150911,126.5297574,충청남도 서천군 서면 서인로 576,,041-952-1617,39,6110,178,156,30,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
솔바람캠핑장,솔바람캠핑장,야영장,36.02414848,126.6652094,충청남도 서천군 장항읍 장항산단로 34번길 48-44,,041-956-6769,25,2428,30,120,20,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
희리산자연휴양림야영장,희리산자연휴양림야영장,자동차야영장,36.11262716,126.6641457,충청남도 서천군 종천면 희리산길 206,,041-953-2230,22,4432,39,132,80,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,22000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
희리산자연휴양림야영장,희리산자연휴양림야영장,야영장,36.11262716,126.6641457,충청남도 서천군 종천면 희리산길 206,,041-953-2230,57,5800,190,228,80,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,8000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
춘장대솔내음캠핑장,춘장대솔내음캠핑장,야영장,36.16672778,126.5272848,충청남도 서천군 서면 춘장대로 151번길 20-6,,000-0000-0000,50,14972,30,200,30,전기시설+상하수도시설+취사장+화장실+샤워장,소화기+대피소,,,30000,041-950-4018,충청남도 서천군청,2019-09-30,4580000,충청남도 서천군
쉼표,쉼표,야영장,36.135972,128.273298,경상북도 김천시 아포읍 회성길 177-8,경상북도 김천시 아포읍 대성리 273,000-0000-0005,8,822,9.43,30,8,전기시설+상하수도시설+샤워실,소화기,,14:00~익일13:00,"연중 30,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
캠핑 뜨락 오토캠핑장,캠핑뜨락오토캠핑장,자동차야영장,36.0141074,128.082877,경상북도 김천시 조마면 조마로 1211-10,경상북도 김천시 조마면 강곡리 917-1,000-0000-0004,21,5873,150.57,80,24,전기시설+상하수도시설+샤워실,소화기,,14:00~익일13:00,"7.22~8.14 40,000, 기타 30,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
금오산 오토캠핑장,금오산오토캠핑장,야영장,36.10728298,128.2753363,경상북도 김천시 아포읍 대성지1길 165,경상북도 김천시 아포읍 대성리 679-3,000-0000-0003,13,1531,49.4,52,13,전기시설+상하수도시설+샤워실,소화기,,14:00~익일11:00,"A형 30,000, B형 40,000, 일반형 20,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
